"path","line","column","excerpt"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","517","48","self._add_action(m_edit, ""Hospitals\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", ""Ctrl+H"", ""edit.hospitals"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","517","55","self._add_action(m_edit, ""Hospitals\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", ""Ctrl+H"", ""edit.hospitals"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","571","57","act_theme_designer = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","571","61","act_theme_designer = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","571","68","act_theme_designer = QAction(""Theme Designer\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","579","53","self._add_action(m_cmd, ""Incident Dashboard \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Command"", None, ""command.incident_dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","579","57","self._add_action(m_cmd, ""Incident Dashboard \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Command"", None, ""command.incident_dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","579","64","self._add_action(m_cmd, ""Incident Dashboard \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Command"", None, ""command.incident_dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","636","42","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", None, ""intel.dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","636","46","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", None, ""intel.dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","636","53","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard"", None, ""intel.dashboard"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","638","42","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Data Manager"", None, ""intel.data_manager"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","638","46","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Data Manager"", None, ""intel.data_manager"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","638","53","self._add_action(m_intel, ""Intel \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Data Manager"", None, ""intel.data_manager"")"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","664","26","# Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard entry"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","664","30","# Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard entry"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","664","37","# Public Affairs \xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\xa2\xe2\u201a\xac\xc2\x9d Dashboard entry"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","791","61","act_team_detail = QAction(""Open Team Detail (Team ID\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6)"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","791","65","act_team_detail = QAction(""Open Team Detail (Team ID\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6)"", self)"
"C:\Users\Fielduser\Documents\GitHub\Incident-Management-Assistant\main.py","791","72","act_team_detail = QAction(""Open Team Detail (Team ID\xc3\u0192\xc2\xa2\xc3\xa2\xe2\u20ac\u0161\xc2\xac\xc3\u201a\xc2\xa6)"", self)"
